acc_x,acc_y,acc_z,orientation,label
-1.02E-23,-9.40E-23,3.78E-21,0,0
-1.30E-23,-1.98E-22,1.89E-21,0,0
-1.13E-23,-1.32E-22,3.12E-21,0,0
-1.26E-23,-1.82E-22,2.17E-21,0,0
-1.50E-23,-2.74E-22,4.22E-22,0,0
-9.09E-24,-4.96E-23,4.68E-21,0,0
-1.30E-23,-1.99E-22,1.84E-21,0,0
-8.34E-23,-2.82E-21,-4.69E-20,0,0
-5.58E-24,8.47E-23,7.29E-21,0,0
-6.22E-24,6.31E-23,6.92E-21,0,0
-1.15E-23,-1.42E-22,2.92E-21,0,0
-1.28E-23,-1.90E-22,2.07E-21,0,0
-1.19E-23,-1.57E-22,2.67E-21,0,0
-1.17E-23,-1.51E-22,2.77E-21,0,0
-1.35E-23,-2.15E-22,1.56E-21,0,0
-2.46E-23,-6.40E-22,-6.49E-21,0,0
-9.94E-24,-7.27E-23,4.44E-21,0,0
-1.32E-23,-2.08E-22,1.66E-21,0,0
-1.28E-23,-1.91E-22,2.03E-21,0,0
-2.03E-23,-4.73E-22,-3.28E-21,0,0
-1.21E-23,-1.65E-22,2.51E-21,0,0
-7.53E-24,8.62E-24,5.77E-21,0,0
-1.78E-23,-3.81E-22,-1.55E-21,0,0
-1.48E-23,-2.65E-22,6.34E-22,0,0
-1.28E-23,-1.89E-22,2.07E-21,0,0
-1.10E-23,-1.22E-22,3.34E-21,0,0
-4.06E-23,-1.26E-21,-1.83E-20,0,0
-7.99E-24,-1.05E-23,5.36E-21,0,0
4.70E-24,4.65E-22,1.42E-20,0,0
3.81E-24,4.30E-22,1.35E-20,0,0
2.29E-23,1.15E-21,2.70E-20,0,0
1.43E-23,8.26E-22,2.10E-20,0,0
-1.63E-23,-3.34E-22,-6.93E-22,0,0
-2.95E-23,-8.23E-22,-9.84E-21,0,0
-4.48E-23,-1.41E-21,-2.11E-20,0,0
-4.13E-23,-1.28E-21,-1.86E-20,0,0
-9.94E-24,-7.86E-23,4.18E-21,0,0
-9.30E-24,-6.58E-23,4.15E-21,0,0
-1.21E-23,-1.67E-22,2.42E-21,0,0
-1.02E-23,-9.11E-23,3.89E-21,0,0
-2.50E-24,2.05E-22,9.58E-21,0,0
-4.24E-23,-1.31E-21,-1.92E-20,0,0
-5.82E-23,-1.92E-21,-3.09E-20,0,0
-4.35E-23,-1.36E-21,-2.02E-20,0,0
-4.57E-23,-1.44E-21,-2.18E-20,0,0
-4.76E-23,-1.52E-21,-2.32E-20,0,0
-4.41E-23,-1.39E-21,-2.07E-20,0,0
-5.23E-23,-1.69E-21,-2.63E-20,0,0
-4.11E-23,-1.27E-21,-1.86E-20,0,0
-3.97E-23,-1.22E-21,-1.76E-20,0,0
-4.17E-23,-1.29E-21,-1.89E-20,0,0
-4.26E-23,-1.33E-21,-1.96E-20,0,0
-4.41E-23,-1.38E-21,-2.07E-20,0,0
-5.42E-23,-1.77E-21,-2.80E-20,0,0
-5.16E-23,-1.67E-21,-2.61E-20,0,0
-5.60E-23,-1.84E-21,-2.92E-20,0,0
-3.84E-23,-1.17E-21,-1.66E-20,0,0
-4.68E-23,-1.48E-21,-2.25E-20,0,0
-4.22E-23,-1.31E-21,-1.93E-20,0,0
-4.50E-23,-1.42E-21,-2.12E-20,0,0
-3.97E-23,-1.22E-21,-1.76E-20,0,0
-4.11E-23,-1.27E-21,-1.84E-20,0,0
-4.02E-23,-1.24E-21,-1.79E-20,0,0
-4.15E-23,-1.29E-21,-1.88E-20,0,0
-4.28E-23,-1.34E-21,-1.98E-20,0,0
-1.83E-23,-4.00E-22,-2.01E-21,0,0
9.78E-23,4.03E-21,8.22E-20,0,0
3.81E-24,4.29E-22,1.34E-20,0,0
6.89E-24,5.50E-22,1.59E-20,0,0
4.03E-24,4.48E-22,1.41E-20,0,0
-3.16E-23,-8.94E-22,-1.11E-20,0,0
-1.17E-23,-1.47E-22,2.88E-21,0,0
-1.87E-23,-4.15E-22,-2.23E-21,0,0
-2.03E-23,-4.73E-22,-3.31E-21,0,0
-1.87E-23,-4.15E-22,-2.20E-21,0,0
-1.35E-23,-2.20E-22,1.40E-21,0,0
-2.22E-23,-5.49E-22,-4.76E-21,0,0
-2.09E-23,-5.00E-22,-3.86E-21,0,0
-2.09E-23,-5.00E-22,-3.87E-21,0,0
-1.96E-23,-4.49E-22,-2.91E-21,0,0
-2.07E-23,-4.90E-22,-3.67E-21,0,0
-1.32E-23,-2.05E-22,1.78E-21,0,0
-7.09E-23,-2.42E-21,-4.07E-20,0,0
1.83E-23,9.87E-22,2.43E-20,0,0
2.71E-23,1.32E-21,3.08E-20,0,0
2.81E-23,1.36E-21,3.14E-20,0,0
2.99E-23,1.43E-21,3.27E-20,0,0
3.10E-23,1.47E-21,3.36E-20,0,0
3.23E-23,1.52E-21,3.44E-20,0,0
3.23E-23,1.52E-21,3.45E-20,0,0
1.98E-23,1.05E-21,2.55E-20,0,0
2.35E-23,1.19E-21,2.82E-20,0,0
2.64E-23,1.30E-21,3.03E-20,0,0
2.95E-23,1.41E-21,3.24E-20,0,0
2.97E-23,1.42E-21,3.27E-20,0,0
2.90E-23,1.40E-21,3.22E-20,0,0
-1.21E-23,-1.86E-22,1.72E-21,0,0
6.34E-23,2.69E-21,5.64E-20,0,0
6.91E-23,2.91E-21,6.03E-20,0,0
7.13E-23,3.00E-21,6.22E-20,0,0
6.69E-23,2.82E-21,5.86E-20,0,0
7.22E-23,3.02E-21,6.22E-20,0,0
8.86E-23,3.63E-21,7.39E-20,0,0
9.21E-23,3.77E-21,7.66E-20,0,0
8.79E-23,3.60E-21,7.32E-20,0,0
1.80E-22,7.07E-21,1.39E-19,0,0
1.21E-22,4.84E-21,9.62E-20,0,0
1.84E-22,7.22E-21,1.41E-19,0,0
2.47E-22,9.57E-21,1.85E-19,0,0
2.97E-22,1.14E-20,2.19E-19,0,0
2.88E-22,1.11E-20,2.12E-19,0,0
2.78E-22,1.07E-20,2.04E-19,1,0
2.96E-22,1.13E-20,2.16E-19,1,0
3.04E-22,1.16E-20,2.20E-19,1,0
3.29E-22,1.25E-20,2.36E-19,1,0
2.99E-22,1.13E-20,2.15E-19,1,0
3.03E-22,1.15E-20,2.18E-19,1,0
3.01E-22,1.14E-20,2.16E-19,1,0
2.97E-22,1.13E-20,2.14E-19,1,0
2.99E-22,1.14E-20,2.15E-19,1,0
3.01E-22,1.14E-20,2.17E-19,1,0
2.97E-22,1.13E-20,2.13E-19,1,0
3.01E-22,1.14E-20,2.17E-19,1,0
3.02E-22,1.15E-20,2.17E-19,1,0
3.01E-22,1.14E-20,2.17E-19,1,0
3.01E-22,1.14E-20,2.17E-19,1,0
3.01E-22,1.14E-20,2.16E-19,1,0
3.01E-22,1.14E-20,2.16E-19,1,0
3.02E-22,1.15E-20,2.18E-19,1,0
2.75E-22,1.05E-20,1.99E-19,1,0
2.99E-22,1.14E-20,2.16E-19,1,0
3.03E-22,1.15E-20,2.18E-19,1,0
3.01E-22,1.15E-20,2.17E-19,1,0
3.03E-22,1.15E-20,2.18E-19,1,0
2.92E-22,1.11E-20,2.12E-19,1,0
2.99E-22,1.14E-20,2.17E-19,1,0
3.03E-22,1.15E-20,2.18E-19,1,0
3.08E-22,1.17E-20,2.23E-19,1,0
2.91E-22,1.11E-20,2.09E-19,1,0
2.99E-22,1.13E-20,2.14E-19,1,0
3.00E-22,1.14E-20,2.15E-19,1,0
2.84E-22,1.07E-20,2.02E-19,1,0
2.96E-22,1.12E-20,2.10E-19,1,0
2.92E-22,1.11E-20,2.08E-19,1,0
3.04E-22,1.15E-20,2.17E-19,1,0
3.11E-22,1.18E-20,2.23E-19,1,0
2.74E-22,1.03E-20,1.93E-19,1,0
2.94E-22,1.11E-20,2.09E-19,1,0
2.93E-22,1.10E-20,2.08E-19,1,0
2.95E-22,1.11E-20,2.10E-19,1,0
2.92E-22,1.10E-20,2.07E-19,1,0
2.94E-22,1.11E-20,2.09E-19,1,0
2.93E-22,1.11E-20,2.08E-19,1,0
2.93E-22,1.11E-20,2.08E-19,1,0
2.94E-22,1.11E-20,2.09E-19,1,0
2.93E-22,1.11E-20,2.09E-19,1,0
